Id,CreationDate,PostId,RelatedPostId,LinkTypeId
46191,2010-10-18T05:12:57.000,1696,692,1
46240,2010-10-18T05:54:31.107,1665,1663,1
46266,2010-10-18T06:13:49.297,1677,1665,1
46549,2010-10-18T10:59:18.830,535,1678,1
48465,2010-10-19T14:53:02.960,1744,1667,1
48490,2010-10-19T15:53:52.103,1736,1644,1
48812,2010-10-19T17:30:25.333,1717,244,1
48813,2010-10-19T17:30:25.333,1717,1614,1
48814,2010-10-19T17:30:25.333,1717,1752,1
49865,2010-10-19T22:42:44.773,1769,820,1
50426,2010-10-20T04:07:25.233,1761,1760,1
51089,2010-10-20T16:37:15.857,1298,573,1
51090,2010-10-20T16:37:15.857,1298,1304,1
51091,2010-10-20T16:37:15.857,1298,27,1
51092,2010-10-20T16:37:15.857,1298,1195,1
51093,2010-10-20T16:41:06.337,246,27,1
53152,2010-10-21T20:46:41.427,350,1215,1
54057,2010-10-22T14:34:19.380,244,573,1
54058,2010-10-22T14:34:19.380,244,1195,1
54059,2010-10-22T14:34:19.380,244,1414,1
54060,2010-10-22T14:34:19.380,244,1549,1
54411,2010-10-22T21:34:54.470,1869,132,1
54484,2010-10-23T05:17:33.457,1822,990,1
54688,2010-10-24T05:31:51.233,1865,244,1
54689,2010-10-24T05:31:51.233,1865,1726,1
55853,2010-10-26T05:33:25.237,1579,1232,1
55904,2010-10-26T05:48:53.490,1858,244,1
55977,2010-10-26T06:51:45.027,820,762,1
55978,2010-10-26T06:51:45.027,820,960,1
55979,2010-10-26T06:51:45.027,820,959,1
56357,2010-10-26T15:25:17.957,1774,1055,1
56456,2010-10-26T18:49:45.313,1678,535,1
56457,2010-10-26T18:49:45.313,1678,1755,1
56916,2010-10-28T11:58:27.577,1942,1449,1
57559,2010-11-03T02:24:12.310,1983,1980,1
57560,2010-11-03T02:25:03.977,1980,1983,1
59895,2010-11-05T17:39:55.137,2050,2042,1
62138,2010-11-10T02:45:04.043,2076,2061,1
64307,2010-11-14T20:41:47.373,2115,244,1
64633,2010-11-15T13:09:47.913,2119,1962,1
64659,2010-11-15T13:12:42.937,2120,2119,1
65710,2010-11-19T01:17:01.790,512,777,1
67911,2010-11-23T13:37:46.360,2174,2193,1
68287,2010-11-24T05:52:20.753,2206,296,1
69113,2010-11-26T11:05:00.607,2241,2231,1
70189,2010-11-29T03:00:08.433,2241,1663,1
70690,2010-11-30T02:57:57.623,2276,1121,1
70691,2010-11-30T02:57:57.623,2276,2188,1
70917,2010-11-30T05:36:29.700,2265,1247,1
72243,2010-12-02T22:52:25.267,725,2301,1
76369,2010-12-09T21:59:20.943,2350,2325,1
76395,2010-12-09T22:20:08.297,2349,573,1
76396,2010-12-09T22:24:06.437,2349,1917,1
76472,2010-12-09T23:05:55.607,2350,418,1
77566,2010-12-12T17:01:25.010,2365,692,1
77967,2010-12-13T14:16:06.023,2369,2350,1
78937,2010-12-15T22:15:06.047,2381,2319,1
79463,2010-12-17T07:17:32.827,2387,244,1
79814,2010-12-17T18:53:00.940,2392,1751,1
79940,2010-12-17T21:08:28.440,2301,725,1
80166,2010-12-18T09:39:17.107,2391,623,1
80842,2010-12-20T06:01:52.973,2410,801,1
80968,2010-12-20T17:37:43.210,2414,998,1
81494,2010-12-22T06:17:41.417,296,2294,1
82445,2010-12-24T20:13:52.907,2258,452,1
82696,2010-12-25T21:29:30.453,2434,689,1
83097,2010-12-27T03:07:09.487,2405,1663,1
83098,2010-12-27T03:07:09.487,2405,2241,1
84174,2010-12-29T07:07:13.877,2446,820,1
88125,2011-01-06T13:12:03.617,2479,463,1
88201,2011-01-06T20:41:07.457,463,2479,1
90152,2011-01-10T15:09:37.663,2488,296,1
90722,2011-01-11T10:13:18.003,2488,2355,1
91498,2011-01-13T00:10:38.630,2506,1195,1
91499,2011-01-13T00:10:38.630,2506,1136,1
91500,2011-01-13T00:10:38.630,2506,2357,1
91501,2011-01-13T00:10:38.630,2506,1247,1
91652,2011-01-13T03:16:17.727,2502,692,1
91653,2011-01-13T03:16:17.727,2502,1507,1
91729,2011-01-13T12:26:54.217,2513,2512,1
91805,2011-01-13T14:21:41.970,2516,1136,1
91831,2011-01-13T14:22:00.613,1136,2516,1
91832,2011-01-13T16:45:22.627,2512,367,1
92229,2011-01-14T18:52:46.960,2502,210,1
93105,2011-01-15T19:37:49.420,2540,130,1
94581,2011-01-17T23:33:11.070,2551,468,1
95232,2011-01-19T11:43:24.293,2571,1759,1
95858,2011-01-21T06:09:56.673,2580,1696,1
95859,2011-01-21T06:09:56.673,2580,2350,1
95860,2011-01-21T06:10:59.730,2580,1590,1
96211,2011-01-22T01:13:01.140,2590,2580,1
97237,2011-01-24T10:29:33.827,2096,990,1
97238,2011-01-24T10:29:33.827,2096,1073,1
98289,2011-01-27T04:16:51.263,2619,2535,1
98290,2011-01-27T04:24:15.510,2619,2294,1
98841,2011-01-28T21:31:26.890,2627,244,1
99117,2011-01-29T15:23:39.397,2636,2170,1
99393,2011-01-30T04:58:30.183,2639,1686,1
99544,2011-01-30T20:25:36.040,1644,1736,1
99745,2011-01-31T21:13:15.580,2644,244,1
100271,2011-02-03T17:51:56.760,2676,308,1
100297,2011-02-03T17:53:17.240,2676,41,1
101223,2011-02-06T04:24:03.190,2658,2704,1
101274,2011-02-06T13:14:31.190,2703,2705,1
101500,2011-02-07T02:22:02.600,2703,2704,1
101901,2011-02-07T18:58:42.447,2732,2401,1
101977,2011-02-07T19:24:54.200,2730,3,1
101978,2011-02-07T19:24:54.200,2730,321,1
101979,2011-02-07T19:24:54.200,2730,633,1
102230,2011-02-07T20:43:35.760,2703,633,1
102859,2011-02-08T23:11:06.030,2723,2698,1
102960,2011-02-09T01:57:26.717,2756,2689,1
103036,2011-02-09T04:28:51.977,2756,244,1
103037,2011-02-09T04:32:52.020,2756,1696,1
103063,2011-02-09T10:46:42.450,2756,89,1
103314,2011-02-09T16:08:25.073,2752,2028,1
103340,2011-02-09T19:39:58.657,2767,1091,1
103341,2011-02-09T19:43:10.040,2767,1298,1
103342,2011-02-09T20:04:46.073,2767,1912,1
103343,2011-02-09T20:36:10.327,2767,1195,1
103369,2011-02-09T20:46:45.287,2767,827,1
103470,2011-02-09T21:59:45.403,2771,2658,1
103471,2011-02-09T21:59:45.403,2771,244,1
103472,2011-02-09T21:59:45.403,2771,8,1
103523,2011-02-10T01:42:56.047,2767,573,1
103574,2011-02-10T22:11:44.813,2781,2767,1
103625,2011-02-10T22:22:12.490,2767,244,1
103726,2011-02-11T17:19:57.133,2789,244,1
103727,2011-02-11T17:23:44.147,2789,811,1
104028,2011-02-11T18:55:32.017,2767,2795,1
104054,2011-02-11T19:29:01.807,2767,2781,1
104455,2011-02-12T19:44:19.763,2795,244,1
104456,2011-02-12T19:46:03.010,2795,2319,1
104657,2011-02-12T20:08:10.400,2790,2376,1
104833,2011-02-13T14:20:30.980,2822,1061,1
104884,2011-02-14T04:02:19.320,2822,8,1
105585,2011-02-15T19:46:38.287,2851,2723,1
105586,2011-02-15T19:47:21.220,2851,2799,1
105587,2011-02-15T19:59:37.527,2851,2796,1
105738,2011-02-15T20:59:51.750,2796,2735,1
105739,2011-02-15T21:02:45.290,2796,2790,1
105865,2011-02-16T00:36:42.483,2859,2796,1
106217,2011-02-16T22:32:35.250,2875,2868,1
106522,2011-02-17T00:12:19.133,2871,2864,1
106948,2011-02-17T17:59:54.770,2894,2225,1
107024,2011-02-17T23:09:47.703,995,689,1
107125,2011-02-18T01:09:04.920,2903,692,1
107251,2011-02-18T02:25:22.440,2879,1689,1
107252,2011-02-18T02:25:22.440,2879,725,1
107253,2011-02-18T04:51:41.767,2908,2875,1
107279,2011-02-18T04:53:04.513,2875,2908,1
107355,2011-02-18T05:07:42.253,2875,2881,1
107356,2011-02-18T05:07:42.253,2875,2879,1
107432,2011-02-18T05:33:29.127,2913,2908,1
107508,2011-02-18T05:41:36.700,2875,2913,1
107634,2011-02-19T02:40:15.907,2923,1817,1
107710,2011-02-19T03:45:37.043,2925,2903,1
107736,2011-02-19T03:48:27.053,2925,2738,1
107837,2011-02-19T06:10:07.183,2924,244,1
107888,2011-02-19T14:08:51.200,573,1817,1
108614,2011-02-19T23:04:10.533,2950,2894,1
108790,2011-02-20T01:36:17.913,995,2924,1
108791,2011-02-20T03:52:59.100,2956,2940,1
109117,2011-02-20T18:59:41.607,2875,2064,1
109118,2011-02-20T19:06:02.400,2965,2064,1
109169,2011-02-20T19:07:01.463,2064,2965,1
109170,2011-02-20T19:19:19.257,2966,2875,1
109222,2011-02-20T19:28:10.347,2967,2875,1
109323,2011-02-20T19:36:12.420,2875,2967,1
109324,2011-02-20T21:13:31.567,2969,2950,1
109350,2011-02-20T21:14:35.433,2950,2969,1
109701,2011-02-21T20:15:09.867,2986,2969,1
109777,2011-02-21T20:16:18.757,2969,2986,1
109953,2011-02-21T20:33:28.187,2987,2986,1
110004,2011-02-21T20:51:07.057,2988,2913,1
110030,2011-02-21T20:56:46.117,2989,2913,1
110206,2011-02-22T01:31:56.627,2999,2767,1
110207,2011-02-22T01:31:56.627,2999,573,1
110233,2011-02-22T01:48:49.937,2999,937,1
110234,2011-02-22T05:22:41.367,937,236,1
110235,2011-02-22T05:22:41.367,937,141,1
110461,2011-02-22T18:53:16.897,995,1678,1
110462,2011-02-22T18:58:30.577,1678,995,1
110538,2011-02-22T21:27:24.700,2915,2950,1
110539,2011-02-22T21:27:24.700,2915,318,1
110765,2011-02-22T22:23:14.160,2915,2939,1
110891,2011-02-23T05:14:24.950,2915,2851,1
111042,2011-02-23T16:59:31.797,3010,244,1
111093,2011-02-23T22:14:30.830,2972,244,1
111119,2011-02-23T22:39:45.453,3028,244,1
111370,2011-02-24T02:57:48.110,2799,2697,1
111546,2011-02-25T01:22:31.163,2799,2903,1
111874,2011-02-25T18:11:51.213,2705,2903,1
111875,2011-02-25T18:15:19.883,2903,2705,1
111876,2011-02-25T19:35:47.463,3040,573,1
111952,2011-02-25T20:38:07.093,3040,244,1
111953,2011-02-26T03:03:44.777,1289,2915,1
111954,2011-02-26T04:22:37.780,3046,1726,1
113105,2011-02-26T16:53:04.877,3049,2767,1
113106,2011-02-26T16:53:04.877,3049,2795,1
113357,2011-02-26T17:49:15.333,2623,1827,1
114808,2011-02-27T02:08:19.570,3062,2704,1
121534,2011-02-28T21:45:02.520,3085,186,1
121535,2011-02-28T21:45:02.520,3085,816,1
123511,2011-03-02T14:19:51.950,2915,2969,1
123512,2011-03-02T14:19:51.950,2915,2986,1
123513,2011-03-02T14:35:32.700,2915,2903,1
123539,2011-03-02T18:19:03.053,689,1666,1
123540,2011-03-02T18:23:00.053,1666,689,1
124291,2011-03-02T22:47:01.170,3106,2664,1
125792,2011-03-04T16:23:57.630,3127,512,1
126643,2011-03-05T22:13:21.697,3106,244,1
126969,2011-03-07T07:31:28.070,3141,2381,1
127495,2011-03-08T21:46:36.170,3155,692,1
127521,2011-03-08T22:16:35.837,3111,244,1
127647,2011-03-10T01:06:34.563,3155,2903,1
128323,2011-03-12T17:02:59.410,2915,1466,1
128974,2011-03-15T08:12:35.057,3,2705,1
129175,2011-03-16T00:26:33.517,3197,244,1
129201,2011-03-16T01:44:13.590,3200,1916,1
129427,2011-03-16T13:24:57.340,2868,2908,1
129428,2011-03-16T13:25:19.243,2908,2868,1
129504,2011-03-16T16:05:19.373,3207,2927,1
129530,2011-03-16T17:09:39.177,3208,2705,1
129581,2011-03-16T18:01:50.897,1256,2868,1
129582,2011-03-16T18:07:54.930,1256,2908,1
129583,2011-03-16T18:14:24.437,1256,2913,1
129609,2011-03-16T18:38:01.927,3211,1256,1
129635,2011-03-16T18:39:09.867,1256,3211,1
129686,2011-03-16T19:02:22.773,3211,2868,1
129762,2011-03-17T03:14:28.900,3219,2767,1
129788,2011-03-17T04:08:54.657,3221,2795,1
130715,2011-03-21T19:40:44.840,3247,2787,1
130741,2011-03-21T21:04:56.390,3247,1041,1
131117,2011-03-22T12:03:21.937,3247,1696,1
131118,2011-03-22T12:03:21.937,3247,2781,1
131569,2011-03-24T22:09:29.390,2950,318,1
131896,2011-03-25T16:22:40.487,3282,2915,1
131897,2011-03-25T16:22:40.487,3282,631,1
131973,2011-03-25T16:44:13.830,3282,2871,1
132799,2011-03-27T14:48:11.717,3280,3283,1
132875,2011-03-27T17:54:26.033,3290,2767,1
132951,2011-03-27T21:51:43.840,3282,3040,1
133052,2011-03-28T02:14:14.737,3294,781,1
133228,2011-03-28T11:43:15.697,3290,3049,1
133279,2011-03-28T16:16:20.780,2056,244,1
133480,2011-03-28T18:48:01.937,3304,2903,1
133481,2011-03-28T18:48:01.937,3304,2703,1
133707,2011-03-28T19:04:07.513,2703,3304,1
133733,2011-03-28T19:08:42.253,2903,3304,1
133759,2011-03-28T19:26:58.853,3302,2940,1
133860,2011-03-28T20:12:43.317,1326,874,1
133861,2011-03-28T20:12:43.317,1326,2787,1
144362,2011-04-03T12:47:36.440,3349,166,1
147088,2011-04-07T18:24:36.253,3374,2479,1
148514,2011-04-10T20:37:05.507,3366,1644,1
148740,2011-04-11T04:04:15.367,3394,3289,1
149191,2011-04-11T19:24:35.120,3385,244,1
151217,2011-04-16T20:50:23.453,3450,3449,1
151568,2011-04-17T03:57:01.813,3449,3028,1
152020,2011-04-17T21:21:38.753,3449,2047,1
152396,2011-04-18T18:43:16.147,3466,3449,1
152422,2011-04-18T18:46:30.047,3449,3466,1
152623,2011-04-18T22:43:24.813,3412,3466,1
154849,2011-04-24T10:02:19.490,3533,1232,1
154900,2011-04-24T14:14:51.243,3532,2225,1
155201,2011-04-25T14:46:40.857,2225,2894,1
155202,2011-04-25T14:47:08.250,3532,2894,1
155703,2011-04-27T09:18:59.860,3553,3449,1
155929,2011-04-27T20:36:19.297,3449,3553,1
156805,2011-04-28T19:20:37.057,3563,2449,1
157106,2011-04-29T01:33:54.307,3553,3028,1
160932,2011-05-01T04:01:22.113,3570,3,1
161958,2011-05-01T17:28:16.350,3584,925,1
164359,2011-05-03T19:50:01.670,3604,1549,1
165285,2011-05-06T13:12:21.093,3642,3591,1
165286,2011-05-06T13:12:21.093,3642,3219,1
165662,2011-05-08T00:09:46.260,3653,3470,1
165713,2011-05-08T12:15:04.820,3662,2781,1
165714,2011-05-08T13:38:49.007,3567,573,1
165965,2011-05-09T00:13:57.570,3669,244,1
170391,2011-05-11T19:18:24.053,1678,244,1
170394,2011-05-11T19:45:07.513,3570,2703,1
170420,2011-05-11T19:51:55.290,3570,2925,1
170871,2011-05-12T02:11:54.293,3720,2781,1
170872,2011-05-12T02:11:54.293,3720,1429,1
170873,2011-05-12T02:11:54.293,3720,210,1
170874,2011-05-12T02:11:54.293,3720,164,1
171725,2011-05-12T21:04:12.580,2703,3570,1
171826,2011-05-12T21:12:11.157,2703,3,1
171977,2011-05-13T02:48:48.337,3744,244,1
172028,2011-05-13T02:55:11.483,3744,1055,1
172679,2011-05-13T20:38:49.547,240,244,1
173080,2011-05-14T16:46:45.997,3720,2756,1
173081,2011-05-14T16:46:45.997,3720,244,1
173457,2011-05-14T23:34:47.377,3720,3729,1
176008,2011-05-19T09:41:09.450,3788,3663,1
176009,2011-05-19T10:41:47.953,3812,1678,1
176035,2011-05-19T11:53:37.400,3812,535,1
177211,2011-05-22T20:07:11.190,1500,3855,1
177687,2011-05-23T15:58:29.713,3871,827,1
177688,2011-05-23T17:36:10.980,3868,573,1
178214,2011-05-24T14:13:30.213,3905,1168,1
178240,2011-05-24T14:14:03.940,1168,3905,1
178716,2011-05-25T03:24:11.420,3912,3906,1
178767,2011-05-25T16:22:25.077,3890,27,1
179069,2011-05-25T20:58:07.983,3934,3532,1
179270,2011-05-26T02:14:27.140,3532,3934,1
179471,2011-05-26T11:23:26.317,3846,2795,1
180322,2011-05-27T22:08:23.320,3963,3549,1
181673,2011-05-29T23:13:14.363,3981,3666,1
181674,2011-05-29T23:13:14.363,3981,3724,1
184500,2011-05-31T18:28:21.763,3999,244,1
186426,2011-06-01T18:14:01.870,1849,244,1
186427,2011-06-01T18:14:01.870,1849,4025,1
187303,2011-06-02T13:28:48.770,4039,3997,1
187479,2011-06-02T13:58:54.967,4038,51,1
187480,2011-06-02T13:58:54.967,4038,1007,1
187481,2011-06-02T13:58:54.967,4038,2319,1
187482,2011-06-02T13:58:54.967,4038,3963,1
187483,2011-06-02T13:58:54.967,4038,235,1
187759,2011-06-02T16:18:19.060,4046,762,1
190660,2011-06-06T23:17:12.127,4081,3450,1
190911,2011-06-07T11:23:55.967,4120,3450,1
191637,2011-06-08T23:39:58.250,4141,244,1
191663,2011-06-09T01:45:00.050,4148,3957,1
192414,2011-06-09T20:07:15.040,4164,4086,1
192490,2011-06-09T20:29:06.627,4164,573,1
192516,2011-06-09T20:32:21.643,4086,4164,1
192742,2011-06-09T23:02:18.597,4168,188,1
193168,2011-06-10T02:09:27.470,4171,2767,1
193769,2011-06-10T09:46:10.063,4174,1500,1
194120,2011-06-10T14:06:53.733,4164,2781,1
194346,2011-06-10T16:00:58.393,4183,221,1
197097,2011-06-12T16:16:18.567,4210,4203,1
198973,2011-06-14T13:08:18.097,4219,4062,1
198974,2011-06-14T13:23:29.290,4219,2285,1
199200,2011-06-14T20:31:25.303,4245,2699,1
199226,2011-06-14T20:32:36.430,2699,4245,1
199502,2011-06-14T23:15:55.553,2699,4251,1
200553,2011-06-15T18:50:35.570,4264,4249,1
200704,2011-06-15T23:22:41.780,4266,4010,1
201582,2011-06-16T20:57:02.010,4284,699,1
201658,2011-06-16T22:46:05.453,4273,3939,1
201834,2011-06-17T04:56:46.670,4294,3221,1
201835,2011-06-17T08:11:49.343,4298,4249,1
201836,2011-06-17T08:11:49.343,4298,4264,1
202187,2011-06-17T17:42:29.173,4303,3164,1
202188,2011-06-17T17:42:29.173,4303,141,1
202564,2011-06-18T10:44:41.787,4317,2096,1
202565,2011-06-18T10:44:41.787,4317,3230,1
203491,2011-06-19T16:40:42.620,4344,4317,1
203517,2011-06-19T16:41:30.943,4317,4344,1
203693,2011-06-20T00:22:55.327,4341,3449,1
203694,2011-06-20T00:25:27.020,4341,244,1
203720,2011-06-20T01:48:08.213,244,4341,1
204471,2011-06-21T13:19:36.150,4372,2189,1
204672,2011-06-21T22:08:45.713,3678,4236,1
204798,2011-06-22T01:20:12.943,4368,3906,1
204849,2011-06-22T04:29:34.380,4390,3868,1
204850,2011-06-22T04:54:19.213,4390,1667,1
204976,2011-06-22T09:39:34.007,4385,4294,1
205577,2011-06-23T10:57:31.753,4411,4141,1
205903,2011-06-23T22:45:52.380,4423,244,1
206879,2011-06-25T16:40:17.303,4456,781,1
207055,2011-06-26T01:27:45.737,4460,4404,1
207706,2011-06-27T03:33:30.630,4411,244,1
207707,2011-06-27T03:35:33.973,2796,244,1
207758,2011-06-27T04:34:26.187,4486,295,1
208534,2011-06-27T22:59:29.080,4504,4063,1
208860,2011-06-28T11:48:55.400,2369,4508,1
208936,2011-06-28T12:35:05.807,4530,1304,1
209387,2011-06-28T16:44:25.107,244,2056,1
210638,2011-06-29T19:42:17.237,4555,3727,1
211139,2011-06-29T23:18:38.730,4555,4568,1
211440,2011-06-30T05:29:33.443,4552,4223,1
211716,2011-06-30T10:11:51.187,4576,2207,1
213392,2011-07-01T15:09:08.340,4593,2781,1
213568,2011-07-01T18:53:44.687,4596,4479,1
213719,2011-07-01T22:18:28.977,4599,3,1
214020,2011-07-01T23:12:21.113,4602,1235,1
214846,2011-07-02T11:14:43.003,4607,2369,1
217322,2011-07-04T04:06:56.503,4635,4202,1
217398,2011-07-04T04:13:53.870,4203,4635,1
217624,2011-07-04T15:05:45.137,4640,2583,1
218600,2011-07-05T21:03:00.530,4658,937,1
218601,2011-07-05T21:03:00.530,4658,141,1
218602,2011-07-05T21:17:07.430,4658,1529,1
218728,2011-07-06T03:24:21.123,4620,190,1
218804,2011-07-06T05:05:31.357,4674,4285,1
218805,2011-07-06T05:05:31.357,4674,959,1
220856,2011-07-08T17:41:59.220,4736,4164,1
221107,2011-07-09T00:34:40.397,4740,3408,1
221558,2011-07-09T18:22:28.620,4753,244,1
221609,2011-07-09T19:44:07.053,4740,502,1
225260,2011-07-12T09:55:06.213,4799,2790,1
226036,2011-07-13T04:24:50.997,4813,4530,1
226312,2011-07-13T07:01:45.227,4806,5,1
227488,2011-07-14T02:13:38.820,4856,2781,1
227514,2011-07-14T02:16:34.780,4856,4830,1
227515,2011-07-14T02:16:34.780,4856,4817,1
228516,2011-07-15T01:27:53.620,4813,4690,1
228767,2011-07-15T06:19:23.607,4873,2488,1
228768,2011-07-15T06:19:23.607,4873,296,1
230969,2011-07-17T14:44:52.490,4904,141,1
232270,2011-07-18T18:38:54.077,4813,4833,1
232521,2011-07-18T21:37:11.660,4918,20,1
232872,2011-07-19T01:22:49.510,4938,2787,1
234573,2011-07-20T19:13:43.937,4971,2787,1
234574,2011-07-20T19:13:43.937,4971,132,1
234725,2011-07-21T03:22:39.047,4975,4971,1
234826,2011-07-21T05:39:15.953,4979,1506,1
234827,2011-07-21T05:39:15.953,4979,228,1
235878,2011-07-23T01:20:04.340,5027,2781,1
235879,2011-07-23T01:20:04.340,5027,89,1
236930,2011-07-24T21:13:46.173,5043,2824,1
237481,2011-07-25T12:43:52.910,5052,4118,1
238257,2011-07-26T18:47:10.493,4208,3062,1
238258,2011-07-26T18:47:10.493,4208,2704,1
239034,2011-07-27T09:20:28.480,5076,1696,1
239185,2011-07-27T13:48:05.433,743,612,1
239261,2011-07-27T14:30:38.920,5084,4813,1
239512,2011-07-27T20:15:13.397,5084,689,1
239738,2011-07-28T01:50:39.010,5094,5076,1
239939,2011-07-28T11:34:13.023,5076,2703,1
239940,2011-07-28T11:34:13.023,5076,2903,1
240041,2011-07-28T14:20:33.190,5106,244,1
240467,2011-07-28T20:48:24.133,5111,244,1
240543,2011-07-28T22:10:33.480,4967,4460,1
241619,2011-07-29T16:15:32.627,5124,5114,1
245070,2011-07-31T23:53:26.520,5158,5159,1
245896,2011-08-01T20:42:27.027,5129,2908,1
246197,2011-08-02T00:47:41.997,5094,1826,1
246223,2011-08-02T01:24:10.810,5169,4975,1
246949,2011-08-02T13:59:34.697,5173,5169,1
247225,2011-08-02T17:09:16.643,5195,3470,1
247701,2011-08-02T21:23:55.713,5206,5176,1
247752,2011-08-02T21:25:20.917,5176,5206,1
248053,2011-08-03T02:26:47.670,3470,5195,1
250304,2011-08-04T18:21:02.307,5119,5006,1
250855,2011-08-05T10:50:43.253,5284,2787,1
251081,2011-08-05T19:52:44.843,5297,2787,1
251232,2011-08-06T00:38:53.767,5302,5284,1
252433,2011-08-07T17:29:48.537,5321,3868,1
252984,2011-08-08T09:57:21.300,5333,5136,1
253735,2011-08-09T08:04:56.437,5353,5350,1
253736,2011-08-09T08:04:56.437,5353,5336,1
253837,2011-08-09T11:55:16.080,5360,3902,1
254413,2011-08-09T20:06:10.773,5364,452,1
257764,2011-08-12T16:51:37.500,5417,5343,1
260215,2011-08-14T10:22:45.893,5446,2188,1
261316,2011-08-15T04:25:54.613,5384,3341,1
261967,2011-08-15T16:04:31.537,5446,5136,1
262968,2011-08-16T12:31:52.297,5487,5474,1
263269,2011-08-16T15:21:12.313,5488,4618,1
265595,2011-08-19T00:47:50.320,5539,44,1
266071,2011-08-19T13:25:54.650,5546,2744,1
266097,2011-08-19T13:26:19.327,5546,471,1
266148,2011-08-19T13:55:10.153,5558,1952,1
269674,2011-08-22T16:18:13.470,5611,296,1
269675,2011-08-22T16:18:13.470,5611,2355,1
269676,2011-08-22T16:18:13.470,5611,2488,1
