Id,TagName,Count,ExcerptPostId,WikiPostId
261,carbon,193,5433,5432
262,front,96,,
263,reference,21,5429,5428
264,climbing,52,38823,38822
265,shoes,118,44755,44754
267,signals,22,9467,9466
268,regional,39,4995,4994
270,bike-culture,8,,
272,clicking,39,,
274,fenders,70,,
277,used-bike,40,,
278,mountain-bike,1396,3068,3067
282,touring-bikes,97,23494,23493
286,parking,16,5396,5395
287,subjective,2,,
290,us,37,4826,4825
291,led-lights,37,10799,10798
294,upgrade-or-new-bike,32,17866,17865
295,electric-bike,190,36121,36120
296,public-transportation,14,3105,3104
298,drafting,18,38553,38552
304,charities,3,,
306,software,23,31922,31921
313,compact-crankset,32,,
314,chamois-creme,6,36593,36592
320,geometry,68,32232,32231
321,internally-geared-hub,178,23508,23507
323,child-seat,43,,
326,best-practice,15,,
329,off-road,50,,
338,randonneuring,13,3066,3065
339,skills,23,,
341,pollution,8,,
344,australia,8,,
345,turbo-trainer,33,,
346,rollers,19,,
351,suspension,246,21704,21703
353,leather,10,,
360,smartphone-mount,16,,
363,bike-setup,23,,
365,frozen,5,6955,6954
366,adjustment,98,,
372,shopping,84,58059,58058
374,exercise,44,,
376,cross-training,8,15498,15497
378,downtube-shifter,33,37085,37084
382,travelling,12,20596,20595
388,salt,11,,
389,commuting-bike,94,5525,5524
390,rims,294,30792,30791
404,performance-tracking,15,,
408,evaluation,8,,
409,master-link,29,46191,46190
410,bike-selection,34,4507,4506
416,tandems,55,12946,12945
421,open-source,3,,
424,framebuilding,43,5592,5591
425,restoration,57,,
430,prototype,3,,
431,bicycle,2,3075,3074
432,planning,26,,
447,belt-drive,41,65505,65504
449,design,53,,
453,history,33,44858,44857
458,kickstand,26,29344,29343
459,quick-release,79,8479,8478
463,wheel-building,123,38821,38820
464,frugal,106,3118,3117
466,brompton,20,28487,28486
469,europe,20,,
473,identify-this-bike,463,43592,43591
474,spd,50,4847,4846
476,electronics,28,,
478,electric-power,16,,
479,mixte,7,4849,4848
482,gps,67,38861,38860
484,android,8,,
487,transportation,52,9996,9995
490,chain-tug,7,,
491,installation,36,,
492,damage,113,63095,63094
493,corrosion,15,,
495,27-inch,15,4851,4850
496,gloves,16,,
501,london,16,4196,4195
502,lighting,91,47118,47117
506,upgrades,160,38890,38889
509,germany,20,,
510,sharing-scheme,11,,
511,torque-wrench,22,,
513,hybrid-bike,182,23515,23514
520,innertube,298,15236,15235
530,jacket,9,,
532,triathlon,33,24621,24620
534,women-specific,28,4537,4536
535,bottle,19,,
538,emergency,6,,
542,riding-position,59,,
543,hydration,35,37087,37086
545,gel-saddle,8,,
547,physics,34,,
549,clothing-care,10,,
552,lanes,2,,
553,protection,33,,
564,group-rides,25,,
569,cruiser,28,,
571,rim-tape,26,65772,65771
575,bike-lane,16,,
580,ceramic,7,,
583,parking-racks,11,5398,5397
585,body-hair,4,,
589,accidents,41,63097,63096
592,track-racing,26,,
595,glasses,25,37083,37082
598,organized-rides,10,,
601,brake-noise,22,5817,5816
605,bike-vs-car,27,,
606,mirrors,11,,
607,equipment,43,,
608,stationary-bike,16,6943,6942
617,preparation,7,,
621,coolweather,5,,
622,penny-farthing,9,8559,8558
623,cable,151,44734,44733
624,shifting,181,40489,40488
630,chainline,43,,
631,bamboo,4,6979,6978
634,shocks,48,,
637,7-speed,24,38511,38510
638,axle,133,63093,63092
639,multi-tool,7,7558,7557
642,drivetrain-slipping,42,7941,7940
643,repair-stand,8,,
644,aerodynamics,62,38513,38512
645,skewer,26,,
646,titanium,28,41316,41315
647,wheelset,40,,
649,compatibility,302,27445,27444
651,long-distance,66,,
653,race,39,,
657,navigation,23,9465,9464
660,men-specific,4,9400,9399
662,liability,3,,
664,handlebar-tape,24,,
665,cleat,50,38867,38866
666,replacement,177,44730,44729
669,sun-protection,10,9645,9644
671,shorts,24,,
672,rear-wheel,171,44787,44786
674,xc,25,18719,18718
678,animal-attack,3,,
679,muscle-pain,13,,
683,lbs,15,10427,10426
685,trackstand,5,,
686,competition,10,,
688,doping,6,10979,10978
690,racing-bikes,13,,
691,racing-strategy,9,38548,38547
693,preventative-maintenance,71,20792,20791
695,campagnolo,83,37081,37080
696,taillight,22,,
698,clamp,23,,
702,kids,29,,
703,adjustment-screw,14,,
704,gravel,64,68257,68256
707,california,10,,
712,toe-straps-clips,9,,
713,toe-overlap,4,,
716,century,17,13259,13258
720,advice,44,,
721,animals,10,44697,44696
724,garmin,49,16367,16366
728,night-riding,12,,
730,650b,7,14093,14092
733,nexus,43,,
734,derailleur-rear,417,38888,38887
735,rails,5,,
736,failure,19,,
737,downhill,60,,
738,nipples,21,,
740,flip-flop-hub,13,15023,15022
741,pain,46,,
744,tubeless,96,15238,15237
749,skipping,23,,
751,citi-bike,5,,
752,bike-share,8,42074,42073
753,topeak,10,,
755,basket,7,,
757,braking,16,,
758,trek,65,44688,44687
759,beginner,78,,
762,lefty-fork,5,16949,16948
766,tire-lever,6,51753,51752
768,reliability,6,17850,17849
769,diamondback,21,,
771,rotor,52,,
779,new-bicycle-assembly,33,45259,45258
780,vintage,218,44732,44731
782,brake-levers,108,63101,63100
785,thru-axle,51,,
789,fatbike,29,20669,20668
790,tension,32,,
791,hills,21,,
792,interrupter-brakes,5,,
793,pads,11,,
797,shimano-di2,24,,
802,battery,38,,
805,cable-routing,37,,
808,tire-pressure,83,,
809,handcycle,3,24336,24335
812,freehub,104,34622,34621
813,steerer,34,,
817,pedals-flat,16,,
818,pedals-clipless,33,,
821,hanger,16,,
822,alignment,27,,
823,ant+,3,29775,29774
824,groupsets,54,30172,30171
825,jumping,22,,
827,grease,37,,
828,mud,8,,
829,specialized-bikes,41,57486,57485
832,bike-handling,7,,
839,giant,55,45448,45447
840,strava,32,36919,36918
842,comfort,20,,
843,uci,10,38898,38897
844,dynamo,37,,
845,cones,18,,
847,cable-housing,40,,
848,derailleur-front,124,,
849,bikepacking,21,43811,43810
850,vibration,12,,
856,road,107,63091,63090
858,dicycle,1,36800,36799
859,sociable,2,36802,36801
862,hypothetical,15,37021,37020
863,drum-brakes,10,,
867,tall,13,40713,40712
871,disability,10,46043,46042
872,amsterdam,2,,
875,shaft,4,38654,38653
876,alfine,19,57876,57875
877,di2,11,38859,38858
879,steps,2,43861,43860
880,balance,8,,
881,balance-bike,4,40562,40561
884,sealant,46,41363,41362
892,rohloff,13,,
893,chrome,4,43374,43373
895,theoretical,9,,
905,hyperglide,4,,
907,customization,17,51412,51411
908,fabrication,1,44556,44555
914,trivia,2,44855,44854
916,boost,3,44943,44942
917,boost-spacing,2,44945,44944
918,flatbar,7,,
923,draisine,2,45100,45099
924,lockout,7,,
926,peugeot,19,,
927,bso,15,45179,45178
929,bb30,8,,
930,bsa,6,,
932,charging,7,63061,63060
937,drop-bar,24,,
939,adaptive,15,46041,46040
943,stand,3,,
944,fox,5,,
950,japan,3,47308,47307
951,hardtail,14,,
955,tour-de-france,18,,
956,sensor,16,49292,49291
959,shim,7,,
960,french,4,,
962,bolt,30,,
964,heavy,23,51533,51532
965,high-spoke-count,3,,
966,derailleur-hanger,28,50077,50076
967,roller-brake,5,50220,50219
968,wheel-lock,7,50238,50237
970,band-brake,1,50970,50969
972,tourney,8,50544,50543
973,alternative-drivetrain,5,,
976,new-rider,19,50968,50967
977,bullhorn,3,,
978,brifters,11,,
980,small,6,51231,51230
981,size,69,,
983,clydesdale,21,51529,51528
988,tyre-width,17,,
989,statistics,4,,
991,bodges,5,51733,51732
1004,television,1,52561,52560
1005,math,7,53799,53798
1006,tall-bike,1,53869,53868
1010,movie,6,54076,54075
1013,zipp,6,,
1014,gates,10,,
1019,wobble,15,,
1020,newbie,8,,
1021,frame-protection,6,,
1022,schwinn,8,,
1025,hollowtech,11,,
1026,time-trial,11,,
1028,press-fit,9,,
1029,youth,1,56066,56065
1030,serial-number,13,,
1032,steering,12,,
1037,crash,13,63099,63098
1040,dirt-jumps,4,,
1041,chain-guide,6,57677,57676
1044,dropper,6,,
1045,endurance,9,58488,58487
1046,grip-shifter,16,,
1047,rickshaw,2,,
1049,aero-bars,4,60214,60213
1050,barrel-adjuster,8,,
1051,cross-thread,3,,
1053,paint,5,,
1058,disc-wheel,2,,
1061,decals,3,,
1062,dunlop,1,64193,64192
1065,chainring-oval,4,,
1069,force,2,,
1074,tubular,4,,
1077,wax,5,,
1079,bike-friday,4,65709,65708
1080,tern,2,65951,65950
1081,india,1,65810,65809
1088,fastener,2,,
1091,april-fools,2,,
1092,tiagra,11,67232,67231
1093,1x11,11,,
1094,1x10,4,,
1095,workout,4,,
1097,fatigue,3,,
1098,cold-set,3,67708,67707
1099,canonical-answer,7,,
1100,raleigh,3,,
1101,badge,2,68430,68429
1102,tektro,3,,
1103,latex,1,,
1104,rebound,1,,
1105,clearance,2,,
1106,magura,3,,
1107,tribology,1,,
1108,threadless,2,,
1109,poland,1,,
1110,computer,2,,
1111,hydraulic,4,,
1112,zero-stack,1,,
1113,holes,1,,
1114,ribble,1,,
1115,absoluteblack,1,,
1116,quarq,1,,
1117,dfour,1,,
1118,subcompact,1,,
1119,through-axle,1,,
1120,hydraulic-rim-brake,2,,
1121,rear-rack,1,,
1122,bell,1,,
